IndicatorType,CountryName,MarketName,CurrencyCode,Date,Value,SourceOfTheData
Official,Ethiopia,,ETB,18/11/1992,4.96,Trading Economics
Official,Ethiopia,,ETB,19/11/1992,4.96,Trading Economics
Official,Ethiopia,,ETB,20/11/1992,4.96,Trading Economics
Official,Ethiopia,,ETB,23/11/1992,4.96,Trading Economics
Official,Ethiopia,,ETB,24/11/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,25/11/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,26/11/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,27/11/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,30/11/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,01/12/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,02/12/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,03/12/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,04/12/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,07/12/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,08/12/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,09/12/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,10/12/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,11/12/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,14/12/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,15/12/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,16/12/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,17/12/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,18/12/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,21/12/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,22/12/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,23/12/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,24/12/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,25/12/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,28/12/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,29/12/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,30/12/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,31/12/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,04/01/1993,4.9,Trading Economics
Official,Ethiopia,,ETB,05/01/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,06/01/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,07/01/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,08/01/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,11/01/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,12/01/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,13/01/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,14/01/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,15/01/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,18/01/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,19/01/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,20/01/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,21/01/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,22/01/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,25/01/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,26/01/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,27/01/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,28/01/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,29/01/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,01/02/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,02/02/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,03/02/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,04/02/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,05/02/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,08/02/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,09/02/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,10/02/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,11/02/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,12/02/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,15/02/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,16/02/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,17/02/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,18/02/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,19/02/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,22/02/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,23/02/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,24/02/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,25/02/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,26/02/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,01/03/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,02/03/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,03/03/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,04/03/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,05/03/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,08/03/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,09/03/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,10/03/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,11/03/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,12/03/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,15/03/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,16/03/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,17/03/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,18/03/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,19/03/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,22/03/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,23/03/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,24/03/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,25/03/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,26/03/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,29/03/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,30/03/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,31/03/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,01/04/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,02/04/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,05/04/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,06/04/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,07/04/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,08/04/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,09/04/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,12/04/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,13/04/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,14/04/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,15/04/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,16/04/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,19/04/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,20/04/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,21/04/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,22/04/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,23/04/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,26/04/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,27/04/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,28/04/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,29/04/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,30/04/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,03/05/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,04/05/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,05/05/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,06/05/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,07/05/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,10/05/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,11/05/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,12/05/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,13/05/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,14/05/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,17/05/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,18/05/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,19/05/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,20/05/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,21/05/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,24/05/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,25/05/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,26/05/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,27/05/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,28/05/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,29/05/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,30/05/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,31/05/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,01/06/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,02/06/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,03/06/1993,4.92,Trading Economics
